id,exclude,type,query,constraint,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch
3365014157,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Trinity Church, John Hancock Building on Right, Series in Snow",1,76.0858958,,42.34966956,-71.07713529,,,,,,,,,,,,,8.38958921
3365014513,0,,Huntington Avenue and Blagden Street,Boston,"Corner of Huntington Avenue and Blagden Street, Facing Southwest",1,238.9031946,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.3491425,-71.07709923,,,,,,,,,,,,,6.525626476
3365044623,0,,Central Square,Cambridge,"Central Square, Storefronts from across street",1,32.7380156,"Central Square, Boston, MA 02128, USA",42.36497768,-71.10303935,,,,,,,,,,,,,20.54604081
3365044793,0,,Central Square,Cambridge,"Central Square, Storefronts and Subway station",1,127.1097616,"Central Square, Boston, MA 02128, USA",42.36528733,-71.10355469,,,,,,,,,,,,,2.202047659
3365044969,0,,Essex Street and Massachusetts Avenue,Cambridge,"Massachusetts Avenue, Central Square, from under Movie Theater sign",1,122.1771304,"Massachusetts Ave, Boston, MA, USA",42.36572375,-71.10429065,"Massachusetts Ave, Boston, MA, USA",42.3367129,-71.0771654,,,,,,,,,,6.326982033
3365045203,0,,Central Square,Cambridge,"East Facades, Central Square, Gorin's from across street, 12:45 P.M. to 1:45 P.M.",1,45.60404593,"Central Square, Boston, MA 02128, USA",42.36492849,-71.10295678,,,,,,,,,,,,,10.82182833
3365045365,0,,Central Square,Cambridge,"East Facades, Central Square, Movie Theater from across street, 12:45 P.M. to 1:35 P.M.",1,37.85129677,"Central Square, Boston, MA 02128, USA",42.36472859,-71.10264697,,,,,,,,,,,,,9.160671946
3365045517,0,,Central Square,Cambridge,"East Facades, Central Square, Storefronts with Taxis on street, 12:45 P.M. to 1:45 P.M.",1,175.7526717,"Central Square, Boston, MA 02128, USA",42.36566909,-71.10395924,,,,,,,,,,,,,8.779181526
3365046231,0,50ft_interval,Newbury Street,Boston,"50 ft. Intervals, Newbury Street, Parking Lot at left, 10:00 A.M. to 12:00 P.M.",1,250.6252269,"Newbury St, Boston, MA, USA",42.35233106,-71.07245434,,,,,,,,,,,,,6.727185921
3365057001,0,50ft_interval,Newbury Street,Boston,"50 ft. Intervals, Newbury Street, Church of the Covenant",1,251.0852217,"Newbury St, Boston, MA, USA",42.35224067,-71.07280091,,,,,,,,,,,,,12.3899604
3365057205,0,50ft_interval,Newbury Street,Boston,"50 ft. Intervals, Newbury Street, Ludwig Furs at left",1,250.5067255,"Newbury St, Boston, MA, USA",42.35229973,-71.07257364,,,,,,,,,,,,,5.709350077
3365058069,0,50ft_interval,Newbury Street,Boston,"50 ft. Intervals, Newbury Street, Pedestrians Crossing Berkeley Street, 10:00 A.M. to 12:00 P.M.",1,75.76776882,"Newbury St, Boston, MA, USA",42.35197124,-71.07386015,,,,,,,,,,,,,5.273736963
3365058209,0,,Newbury Street,Boston,"North Facades, Newbury Street, Flower shop at left",1,336.7202588,,42.35113264,-71.07685275,,,,,,,,,,,,,12.17989387
3365090671,0,,Newbury Street,Boston,"North Facades, Newbury Street, Helena Rubinstein",1,22.82343884,"Newbury St, Boston, MA, USA",42.34853303,-71.08647979,,,,,,,,,,,,,11.46426698
